year,scenario_1_GHG_gigatons_CO2_equivalent_per_year,scenario_1_cost_of_energy_dollars_per_gigajoule,scenario_1_carbon_price_dollars_per_ton_CO2,scenario_1_energy_intensity_of_GDP_exajoule_per_trillions_of_dollars,scenario_1_reduction_in_GDP_from_climate_impacts_in_percent,scenario_2_GHG_gigatons_CO2_equivalent_per_year,scenario_2_cost_of_energy_dollars_per_gigajoule,scenario_2_carbon_price_dollars_per_ton_CO2,scenario_2_energy_intensity_of_GDP_exajoule_per_trillions_of_dollars,scenario_2_reduction_in_GDP_from_climate_impacts_in_percent,baseline_scenario_GHG_gigatons_CO2_equivalent_per_year,baseline_scenario_cost_of_energy_dollars_per_gigajoule,baseline_scenario_carbon_price_dollars_per_ton_CO2,baseline_scenario_energy_intensity_of_GDP_exajoule_per_trillions_of_dollars,baseline_scenario_reduction_in_GDP_from_climate_impacts_in_percent
2023,58.63,22.6,5,2.93,8.22,58.63,22.6,5,2.93,8.22,58.63,22.6,5,2.93,8.22
2024,57.01,27.3,50,2.78,8.61,57.01,27.3,50,2.78,8.61,59.24,22.47,5,2.88,8.61
2025,56.26,27.32,50,2.69,8.99,56.26,27.32,50,2.69,8.99,59.8,22.36,5,2.84,8.99
2026,56.35,27.14,50,2.64,9.35,56.35,27.14,50,2.64,9.35,60.32,22.27,5,2.8,9.37
2027,56.39,26.96,50,2.59,9.7,56.39,26.96,50,2.59,9.7,60.81,22.21,5,2.76,9.73
2028,56.34,26.81,50,2.55,10.03,56.34,26.81,50,2.55,10.03,61.28,22.15,5,2.71,10.09
2029,56.19,26.68,50,2.5,10.35,56.19,26.68,50,2.5,10.35,61.73,22.11,5,2.67,10.43
2030,55.96,26.57,50,2.46,10.66,55.96,26.57,50,2.46,10.66,62.16,22.07,5,2.63,10.77
2031,55.67,26.46,50,2.42,10.97,55.67,26.46,50,2.42,10.97,62.58,22.03,5,2.6,11.11
2032,55.35,26.35,50,2.38,11.28,55.35,26.35,50,2.38,11.28,62.99,21.99,5,2.56,11.46
2033,55.04,26.24,50,2.34,11.58,55.04,26.24,50,2.34,11.58,63.38,21.95,5,2.53,11.8
2034,54.75,26.12,50,2.3,11.88,54.75,26.12,50,2.3,11.88,63.77,21.9,5,2.49,12.14
2035,54.5,25.99,50,2.26,12.17,54.5,25.99,50,2.26,12.17,64.15,21.86,5,2.46,12.48
2036,54.29,25.86,50,2.22,12.45,54.29,25.86,50,2.22,12.45,64.51,21.81,5,2.43,12.81
2037,54.13,25.74,50,2.19,12.72,54.13,25.74,50,2.19,12.72,64.88,21.77,5,2.4,13.14
2038,54,25.61,50,2.15,12.99,54,25.61,50,2.15,12.99,65.23,21.72,5,2.37,13.45
2039,53.9,25.48,50,2.12,13.24,53.9,25.48,50,2.12,13.24,65.59,21.66,5,2.34,13.76
2040,53.84,25.36,50,2.09,13.48,53.84,25.36,50,2.09,13.48,65.94,21.61,5,2.31,14.06
2041,53.79,25.24,50,2.06,13.72,53.79,25.24,50,2.06,13.72,66.29,21.56,5,2.28,14.35
2042,53.77,25.13,50,2.03,13.95,53.77,25.13,50,2.03,13.95,66.64,21.51,5,2.25,14.64
2043,53.77,25.02,50,2,14.18,53.77,25.02,50,2,14.18,66.98,21.46,5,2.23,14.93
2044,53.78,24.92,50,1.97,14.42,53.78,24.92,50,1.97,14.42,67.31,21.4,5,2.2,15.23
2045,53.81,24.82,50,1.94,14.65,53.81,24.82,50,1.94,14.65,67.64,21.35,5,2.18,15.51
2046,53.86,24.72,50,1.92,14.87,53.86,24.72,50,1.92,14.87,67.96,21.3,5,2.15,15.8
2047,53.91,24.63,50,1.89,15.1,53.91,24.63,50,1.89,15.1,68.28,21.26,5,2.13,16.08
2048,53.98,24.54,50,1.87,15.32,53.98,24.54,50,1.87,15.32,68.59,21.21,5,2.1,16.35
2049,54.05,24.47,50,1.84,15.53,54.05,24.47,50,1.84,15.53,68.9,21.16,5,2.08,16.62
2050,54.12,24.4,50,1.82,15.74,54.12,24.4,50,1.82,15.74,69.2,21.11,5,2.06,16.88
2051,50.89,35.05,236,1.7,15.94,54.18,24.33,50,1.8,15.94,69.5,21.07,5,2.04,17.14
2052,48.89,34.48,236,1.62,16.14,54.25,24.26,50,1.78,16.14,69.79,21.02,5,2.02,17.39
2053,48.34,33.85,236,1.6,16.32,54.32,24.2,50,1.76,16.34,70.08,20.98,5,1.99,17.63
2054,47.88,33.2,236,1.59,16.5,54.39,24.14,50,1.74,16.53,70.35,20.93,5,1.97,17.87
2055,47.33,32.59,236,1.57,16.66,54.46,24.08,50,1.72,16.72,70.62,20.89,5,1.95,18.11
